     3      0.01562500       1.99569952
     4      0.04687500       2.26810002
     5      0.07812500       2.53209662
     6      0.10937500       2.77932906
     7      0.14062500       3.00167871
     8      0.17187500       3.19137478
     9      0.20312500       3.34113216
    10      0.23437500       3.44434190
    11      0.26562500       3.49535990
    12      0.29687500       3.48989725
    13      0.32812500       3.42551136
    14      0.35937500       3.30212879
    15      0.39062500       3.12251616
    16      0.42187500       2.89257908
    17      0.45312500       2.62138081
    18      0.48437500       2.32081270
    19      0.51562500       2.00489640
    20      0.54687500       1.68880308
    21      0.57812500       1.38769960
    22      0.60937500       1.11560416
    23      0.64062500       0.88441133
    24      0.67187500       0.70321339
    25      0.70312500       0.57797843
    26      0.73437500       0.51157135
    27      0.76562500       0.50404412
    28      0.79687500       0.55308777
    29      0.82812500       0.65453476
    30      0.85937500       0.80282640
    31      0.89062500       0.99139404
    32      0.92187500       1.21294451
    33      0.95312500       1.45966625
    34      0.98437500       1.72338593
