     3      0.01562500       1.99548650
     4      0.04687500       2.26515746
     5      0.07812500       2.52710176
     6      0.10937500       2.77334118
     7      0.14062500       2.99580789
     8      0.17187500       3.18644261
     9      0.20312500       3.33742952
    10      0.23437500       3.44157124
    11      0.26562500       3.49277711
    12      0.29687500       3.48661637
    13      0.32812500       3.42086267
    14      0.35937500       3.29595494
    15      0.39062500       3.11529803
    16      0.42187500       2.88534403
    17      0.45312500       2.61542034
    18      0.48437500       2.31729531
    19      0.51562500       2.00451326
    20      0.54687500       1.69155800
    21      0.57812500       1.39291930
    22      0.60937500       1.12216151
    23      0.64062500       0.89108515
    24      0.67187500       0.70906007
    25      0.70312500       0.58259165
    26      0.73437500       0.51514459
    27      0.76562500       0.50722289
    28      0.79687500       0.55666786
    29      0.82812500       0.65911597
    30      0.85937500       0.80854237
    31      0.89062500       0.99780941
    32      0.92187500       1.21915364
    33      0.95312500       1.46455884
    34      0.98437500       1.72598946
